MESS_DATUM;TMK;TXK;TNK
20200106;0.8;6.0;-2.5
20200107;2.4;4.6;-2.1
20200108;3.6;7.2;-1.3
20200109;7.7;14.5;3.6
20200110;7.4;11.2;2.3
20200111;4.0;5.4;0.0
20200112;0.5;5.1;-3.2
20200113;3.1;7.2;-0.6
20200114;4.9;12.8;-1.1
20200115;5.6;12.8;-0.7
20200116;7.3;12.4;0.2
20200117;5.6;12.2;-1.2
20200118;3.2;6.2;0.5
20200119;0.3;1.6;-0.8
20200120;0.4;1.6;-1.4
20200121;-1.2;1.4;-2.9
20200122;-2.4;0.6;-4.0
20200123;-1.9;0.0;-3.9
20200124;1.0;8.7;-3.2
20200125;2.9;7.5;-1.5
20200126;4.0;8.3;0.6
20200127;6.6;10.8;2.6
20200128;4.8;6.8;1.6
20200129;2.6;4.7;1.1
20200130;6.2;10.5;2.2
20200131;11.4;14.2;8.7
20200201;10.5;16.4;5.7
20200202;10.6;13.2;7.3
20200203;6.7;11.1;5.9
20200204;5.0;14.0;0.9
20200205;1.4;2.6;-1.0
20200206;0.9;6.7;-2.5
20200207;0.1;4.7;-3.6
20200208;2.2;10.1;-3.6
20200209;7.0;14.2;-0.6
20200210;10.4;15.9;6.4
20200211;3.9;9.6;1.6
20200212;3.3;4.9;1.8
20200213;5.2;9.8;1.1
20200214;5.9;8.0;4.7
20200215;6.1;12.1;0.6
20200216;11.2;17.2;6.1
20200217;11.6;14.9;7.2
20200218;6.3;9.1;4.7
20200219;4.4;6.8;2.4
20200220;5.6;11.0;1.6
20200221;5.8;8.9;2.8
20200222;9.8;16.9;2.6
20200223;11.9;16.0;6.7
20200224;7.3;11.6;2.4
20200225;9.8;11.6;6.1
20200226;2.9;6.1;-0.8
20200227;2.4;6.3;0.5
20200228;2.4;5.6;-0.4
20200229;8.9;16.2;3.4
20200301;8.0;13.4;2.8
20200302;6.7;9.4;2.8
20200303;4.1;6.0;1.7
20200304;3.7;7.0;0.6
20200305;5.2;9.4;0.6
